GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041500403,1610612744,Warriors,GSW,Golden State,240:00,92.4,94.7,125.7,126.3,-33.3,-31.6,0.656,1.17,16.6,0.204,0.587,0.389,18.473,18.9,0.48,0.515,1.0,0.197,96.46,95.0,79.17,95,0.323
0041500403,1610612739,Cavaliers,CLE,Cleveland,240:00,125.7,126.3,92.4,94.7,33.3,31.6,0.479,1.64,17.0,0.413,0.796,0.611,14.663,14.7,0.593,0.609,1.0,0.197,96.46,95.0,79.17,95,0.677
0041500404,1610612744,Warriors,GSW,Golden State,240:00,120.5,125.6,110.9,114.1,9.5,11.5,0.697,2.56,18.2,0.423,0.612,0.515,10.04,10.5,0.512,0.571,1.0,0.201,88.54,85.5,71.25,86,0.594
0041500404,1610612739,Cavaliers,CLE,Cleveland,240:00,110.9,114.1,120.5,125.6,-9.5,-11.5,0.395,1.36,12.7,0.388,0.577,0.485,12.58,12.9,0.506,0.525,1.0,0.199,88.54,85.5,71.25,85,0.406
0041500405,1610612744,Warriors,GSW,Golden State,240:00,93.8,99.0,110.8,114.3,-17.0,-15.3,0.563,1.06,13.4,0.362,0.733,0.524,16.435,17.3,0.443,0.488,1.0,0.201,102.28,98.0,81.67,98,0.395
0041500405,1610612739,Cavaliers,CLE,Cleveland,240:00,110.8,114.3,93.8,99.0,17.0,15.3,0.341,0.94,12.1,0.267,0.638,0.476,15.823,16.3,0.59,0.601,1.0,0.198,102.28,98.0,81.67,98,0.605
0041500406,1610612744,Warriors,GSW,Golden State,240:00,101.2,105.2,121.0,117.3,-19.7,-12.1,0.576,1.36,14.9,0.245,0.75,0.462,14.034,14.6,0.494,0.533,1.0,0.2,97.42,97.0,80.83,96,0.344
0041500406,1610612739,Cavaliers,CLE,Cleveland,240:00,121.0,117.3,101.2,105.2,19.7,12.1,0.6,2.0,18.9,0.25,0.755,0.538,12.621,12.2,0.584,0.631,1.0,0.198,97.42,97.0,80.83,98,0.656
0041500407,1610612744,Warriors,GSW,Golden State,240:00,97.0,100.0,97.9,104.5,-0.9,-4.5,0.688,2.2,18.2,0.208,0.692,0.448,10.903,11.2,0.476,0.502,1.0,0.199,93.36,89.0,74.17,89,0.45
0041500407,1610612739,Cavaliers,CLE,Cleveland,240:00,97.9,104.5,97.0,100.0,0.9,4.5,0.515,1.55,14.0,0.308,0.792,0.552,11.579,12.4,0.439,0.5,1.0,0.198,93.36,89.0,74.17,89,0.55
0041600101,1610612741,Bulls,CHI,Chicago,240:00,105.9,111.6,103.7,107.4,2.2,4.2,0.564,1.16,15.5,0.519,0.686,0.602,18.977,20.0,0.473,0.524,1.0,0.195,99.24,95.0,79.17,95,0.536
0041600101,1610612738,Celtics,BOS,Boston,240:00,103.7,107.4,105.9,111.6,-2.2,-4.2,0.73,1.69,19.7,0.314,0.481,0.398,16.267,16.8,0.512,0.54,1.0,0.196,99.24,95.0,79.17,95,0.464
0041600102,1610612741,Bulls,CHI,Chicago,240:00,116.6,116.8,101.7,102.1,14.9,14.7,0.622,2.33,20.7,0.318,0.694,0.516,12.61,12.6,0.562,0.583,1.0,0.196,95.26,95.0,79.17,95,0.596
0041600102,1610612738,Celtics,BOS,Boston,240:00,101.7,102.1,116.6,116.8,-14.9,-14.7,0.684,1.63,19.6,0.306,0.682,0.484,16.779,16.8,0.524,0.537,1.0,0.201,95.26,95.0,79.17,95,0.404
